title,price,area,location,property_type,publisher,details,main_image,carousel_images
Local en  Arriendo,"$ 13,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,PADS,6 Ambientes 3 Baños136 m²,https://cdn2.infocasas.com.uy/repo/img/66fb0172d4818_infocdn__eyjidwnrzxqioijwywrzlwltywdlcyisimtlesi6ijdknty3ote1ltfiymytndbiyy04ntkyltlkmwewngm1ndc4yi5qcgcilcjlzgl0cyi6eyjyzxnpemuionsid2lkdggiojeyotasimzpdci6imluc2lkzsj9lcj0b0zvcm1hdci6impwzwcifx0=.jpeg,[]
Oficina en  Arriendo,"$ 4,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,ADARVE E HIJOS SAS,1 Baño110 m²,https://cdn2.infocasas.com.uy/repo/img/66f459e236abe_infocdn__gr58599520200925115209jpeg.jpeg,[]
Local en  Arriendo,"$ 17,240,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INTERNATIONAL BROKERS COLOMBIA SAS,1 Ambiente 2 Baños267 m²,https://cdn2.infocasas.com.uy/repo/img/670041fdb8def_infocdn__6lmazfcprgm5lxwwyblmj2lyvjyx90ndi5qtnumbpng.png,[]
Oficina en  Arriendo,"$ 30,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,365 m²,https://cdn2.infocasas.com.uy/repo/img/66e992edcaf77_infocdn__569cf7c1-a8c5-4ccc-a4d3-b682b388931a,[]
Oficina en arriendo,"$ 6,204,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Regus Colombia Ltda,1 Ambiente 3 Baños45 m²,https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2023/1/16/3805868_972_5.jpg,[]
Oficina en arriendo,"$ 4,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,BRIKSS SAS,1 Ambiente 1 Baño100 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/e9175163-4595-4e7a-be74-11c7ddf57df3/photos/e9175163-4595-4e7a-be74-11c7ddf57df3_1_True_eac57e11-6eb4-40e1-a2e9-bf917716e4c1.jpg,[]
Oficina en arriendo,"$ 40,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,BIENES CORPORATIVOS AC SAS,1 Ambiente 711 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/2297facf-1b0d-4f32-b8a7-83f718330ed6/photos/2297facf-1b0d-4f32-b8a7-83f718330ed6_0_True_53466696-f54b-4971-ae69-f47a53203bc6.jpg,[]
Oficina en arriendo,"$ 1,579,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Regus Colombia Ltda,1 Ambiente 1 Baño50 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/329f417f-0d2c-4c69-b5e8-8194efa3ed13/photos/329f417f-0d2c-4c69-b5e8-8194efa3ed13_2_False_c562d469-0d51-47c8-a32b-9da7fe97372d.jpg,[]
Local en  Arriendo,"$ 35,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INMOBILIARIA PREMIUM,2 Baños500 m²,https://cdn2.infocasas.com.uy/repo/img/66dbc2daf18c1_infocdn__9aed2273-1af3-41cb-953b-cf9436301bf2,[]
Oficina en arriendo,"$ 309,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Regus Colombia Ltda,1 Ambiente 1 Baño10 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/84df492d-ea73-4646-a53c-e47fde5d9e75/photos/84df492d-ea73-4646-a53c-e47fde5d9e75_2_False_daee0af9-2def-486f-8710-0c29c556978c.jpg,[]
Oficina en  Arriendo,"$ 12,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,2 Baños249 m²,https://cdn2.infocasas.com.uy/repo/img/670412b3ccd66_infocdn__834017be-8b75-4ded-a284-0993843535ac,[]
Oficina en  Arriendo,"$ 57,200,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INMOBILIARIA PREMIUM,6 Baños782 m²,https://cdn2.infocasas.com.uy/repo/img/66dbc4642146d_infocdn__bce5ea14-34fd-48f2-82f6-a2f82bf96563,[]
